"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","USA.ABMC","(U) ","American Battle Monuments Commission",
"(U) ","USA.ACCESS","(U) ","Architectural and Transportation Barriers Compliance Board ",
"(U) ","USA.ACFR","(U) ","Administrative Committee of the Federal Register",
"(U) ","USA.ACHP","(U) ","Advisory Council on Historic Preservation",
"(U) ","USA.ACUS","(U) ","Administrative Conference of the United States",
"(U) ","USA.ADF","(U) ","African Development Foundation",
"(U) ","USA.AMICC","(U) ","Arthritis and Musculoskeletal Interagency Coordinating Committee",
"(U) ","USA.AMTRAK","(U) ","National Railroad Passenger Corporation ",
"(U) ","USA.ARC","(U) ","Appalachian Regional Commission",
"(U) ","USA.ARCTIC","(U) ","Arctic Research Commission",
"(U) ","USA.BBG","(U) ","Broadcasting Board of Governors ",
"(U) ","USA.BMGS","(U) ","Barry M. Goldwater Scholarship and Excellence in Education Foundation",
"(U) ","USA.CAOC","(U) ","Chief Acquisition Officers Council",
"(U) ","USA.CCJJ","(U) ","Coordinating Council on Juvenile Justice and Delinquency Prevention",
"(U) ","USA.CCR","(U) ","Commission on Civil Rights",
"(U) ","USA.CEA","(U) ","United States Council of Economic Advisers",
"(U) ","USA.CFA","(U) ","Commission of Fine Arts",
"(U) ","USA.CFI","(U) ","Committee on Foreign Investments in the United States",
"(U) ","USA.CFOC","(U) ","Chief Financial Officers Council",
"(U) ","USA.CFTC","(U) ","Commodity Futures Trading Commission",
"(U) ","USA.CHCOC","(U) ","Chief Human Capital Officers Council",
"(U) ","USA.CIA","(U) ","Central Intelligence Agency ",
"(U) ","USA.CIOC","(U) ","Chief Information Officers Council",
"(U) ","USA.CIRF","(U) ","Commission on International Religious Freedom",
"(U) ","USA.CITA","(U) ","Committee for the Implementation of Textile Agreements",
"(U) ","USA.CNCS","(U) ","Corporation for National and Community Service",
"(U) ","USA.COMP","(U) ","Office of Compliance",
"(U) ","USA.CPSC","(U) ","Consumer Product Safety Commission ",
"(U) ","USA.CSAC","(U) ","Citizens' Stamp Advisory Committee",
"(U) ","USA.CSHIB","(U) ","Chemical Safety and Hazard Investigation Board",
"(U) ","USA.CSOSA","(U) ","Court Services and Offender Supervision Agency for the District of Columbia",
"(U) ","USA.DEA","(U) ","Drug Enforcement Administration",
"(U) ","USA.DENALI","(U) ","Denali Commission",
"(U) ","USA.DFC","(U) ","U.S. International Development Finance Corporation",
"(U) ","USA.DHS","(U) ","Department of Homeland Security ",
"(U) ","USA.DIA","(U) ","Defense Intelligence Agency",
"(U) ","USA.DNFSB","(U) ","Defense Nuclear Facilities Safety Board",
"(U) ","USA.DNI","(U) ","Office of the Director of National Intelligence",
"(U) ","USA.DOC","(U) ","Department of Commerce ",
"(U) ","USA.DOD","(U) ","Department of Defense ",
"(U) ","USA.DOE","(U) ","Department of Energy ",
"(U) ","USA.DOI","(U) ","Department of the Interior ",
"(U) ","USA.DOJ","(U) ","Department of Justice ",
"(U) ","USA.DOL","(U) ","Department of Labor ",
"(U) ","USA.DOT","(U) ","Department of Transportation ",
"(U) ","USA.DRBC","(U) ","Delaware River Basin Commission",
"(U) ","USA.EAC","(U) ","United States Election Assistance Commission",
"(U) ","USA.ED","(U) ","Department of Education ",
"(U) ","USA.EEOC","(U) ","Equal Employment Opportunity Commission ",
"(U) ","USA.EIBUS","(U) ","Export-Import Bank of the United States",
"(U) ","USA.EOP","(U) ","Executive Office of the President",
"(U) ","USA.EPA","(U) ","Environmental Protection Agency ",
"(U) ","USA.ESC","(U) ","Endangered Species Committee",
"(U) ","USA.FAC","(U) ","Federal Advisory Committees",
"(U) ","USA.FASAB","(U) ","Federal Accounting Standards Advisory Board",
"(U) ","USA.FBI","(U) ","Federal Bureau of Investigation",
"(U) ","USA.FCA","(U) ","Farm Credit Administration",
"(U) ","USA.FCC","(U) ","Federal Communications Commission ",
"(U) ","USA.FCIC","(U) ","Financial Crisis Inquiry Commission",
"(U) ","USA.FCSIC","(U) ","Farm Credit System Insurance Corporation",
"(U) ","USA.FDIC","(U) ","Federal Deposit Insurance Corporation ",
"(U) ","USA.FEB","(U) ","Federal Executive Boards",
"(U) ","USA.FEC","(U) ","Federal Election Commission ",
"(U) ","USA.FERC","(U) ","Federal Energy Regulatory Commission",
"(U) ","USA.FFB","(U) ","Federal Financing Bank",
"(U) ","USA.FFIEC","(U) ","Federal Financial Institutions Examination Council",
"(U) ","USA.FGDC","(U) ","Federal Geographic Data Committee",
"(U) ","USA.FHRA","(U) ","Federal Housing Finance Agency",
"(U) ","USA.FICE","(U) ","Federal Interagency Committee on Education",
"(U) ","USA.FICMNEW","(U) ","Federal Interagency Committee for the Management of Noxious and Exotic Weeds",
"(U) ","USA.FICSP","(U) ","Federal Interagency Council on Statistical Policy",
"(U) ","USA.FLCTT","(U) ","Federal Laboratory Consortium for Technology Transfer",
"(U) ","USA.FLICC","(U) ","Federal Library and Information Center Committee",
"(U) ","USA.FLRA","(U) ","Federal Labor Relations Authority",
"(U) ","USA.FMC","(U) ","Federal Maritime Commission",
